year,sst_anomaly_custom,dewpoint_depression_C,all_storms,tropical_storms,cat1_2,major_cat3plus
1982.0,0.020958091923072953,6.122876703700515,19,10,5,4
1983.0,0.003333642032917967,6.127589415036707,18,7,3,8
1984.0,-0.2558141745585181,5.793560137102143,17,5,6,6
1985.0,-0.3840771097303799,5.600859764568107,19,8,4,7
1986.0,-0.24439546175378446,6.1563359677090945,14,6,5,3
1987.0,-0.018396779754710362,6.4266654850966916,16,7,5,4
1988.0,-0.4501793299054109,6.436734911124945,17,11,5,1
1989.0,-0.48570772848436733,6.295663798022935,21,12,5,4
1990.0,-0.04791458869099773,5.660825090723001,21,7,9,5
1991.0,-0.06738492687288448,6.341748558598141,14,5,4,5
1992.0,-0.03714873404151694,5.250891456441418,24,10,6,8
1993.0,0.08555724973604188,6.549114267024095,15,5,2,8
1994.0,0.06622921357668568,6.639999633020396,10,5,3,2
1995.0,-0.08183345668405996,6.423350592698827,11,4,4,3
1996.0,-0.26378467363655506,6.378554426571739,10,6,3,1
1997.0,0.13896173603392045,6.19470049528088,17,9,2,6
1998.0,-0.08546559750999243,7.195747057250471,15,6,3,6
1999.0,-0.5928265384929757,6.9614667435573,12,7,4,1
2000.0,-0.40433767689429345,6.830884558804807,16,10,4,2
2001.0,-0.09447431356380921,6.432140184779983,11,6,3,2
2002.0,0.0028599342069854775,6.414868495060897,14,8,1,5
2003.0,0.011679174836327933,6.787277529875303,15,9,6,0
2004.0,-0.007090315687055575,6.22635518188694,13,7,3,3
2005.0,-0.13288782056178997,6.75133592284021,16,9,5,2
2006.0,-0.05035472815076176,6.198870859900199,19,9,5,5
2007.0,-0.05505275668872634,6.41183302253734,11,9,2,0
2008.0,-0.15123273182818997,6.725721285072808,15,8,5,2
2009.0,0.31819454196981845,6.678838500048655,17,11,3,3
2010.0,-0.27227234466695077,6.393504690010055,11,9,1,1
2011.0,-0.49410745255917643,7.024751064107481,11,2,4,5
2012.0,0.07301572267689387,6.443029191130884,16,7,4,5
2013.0,0.030812907787453298,6.2584091413392064,16,7,8,1
2014.0,0.44147766841803165,5.866393180734813,20,6,6,8
2015.0,0.8941601761687812,5.5038176598370105,14,4,2,8
2016.0,0.7550507065800849,6.165719196898125,19,9,5,5
2017.0,0.44000120690480377,6.561755229478521,18,10,4,4
2018.0,0.44063626371019815,5.985297546046936,18,8,2,8
2019.0,0.45067637231471885,6.614544236548913,18,12,3,3
2020.0,0.5031346318401386,6.647944679381848,18,14,1,3
2021.0,0.18011329062281187,6.571888505786806,17,9,6,2
2022.0,0.16696784897490366,6.6174345728640205,17,8,6,3
2023.0,0.5134421661008325,7.103619717361064,17,8,2,7
2024.0,0.5450427816141922,7.279426479025852,12,8,1,3
2025.0,0.2689407982837624,6.6041739384715905,17,8,6,3
