year,sst_anomaly_custom,dewpoint_depression_C,all_storms,tropical_storms,cat1_2,major_cat3plus
1982.0,0.07425454453715029,4.692038222404812,3,2,1,0
1983.0,-0.1576644424386829,4.618183917086677,1,0,0,1
1984.0,-0.548316050953999,4.906174739143274,3,3,0,0
1985.0,-0.19890853644807616,4.92072231534727,3,0,3,0
1986.0,-0.16473407647331315,5.008454221105858,3,1,2,0
1987.0,-0.3314958115628563,5.175431608282904,1,1,0,0
1988.0,-0.48089374518733113,5.1651533028319285,5,3,2,0
1989.0,-0.05105276984431129,5.081023481116474,4,2,2,0
1990.0,0.01041289192429376,5.208348721593485,1,1,0,0
1991.0,-0.011252921145978584,4.756299173917622,2,2,0,0
1992.0,-0.3157416409702111,4.801998362641516,1,1,0,0
1993.0,-0.20472079200641544,5.090641859895597,2,2,0,0
1994.0,-0.02674907986785603,4.827468381389765,4,4,0,0
1995.0,0.08814099754849371,5.133650561108786,4,3,0,1
1996.0,-0.3168851465283738,5.268917073834031,1,1,0,0
1997.0,0.02789331435957869,4.936414576849409,1,0,1,0
1998.0,0.03153691526264405,5.239825220328856,4,3,1,0
1999.0,0.1557101899220014,5.524264229079853,5,4,0,1
2000.0,0.09505283957101707,5.788715285592975,5,4,1,0
2001.0,-0.015284331077706862,5.188515916973878,3,2,1,0
2002.0,0.22392724080652116,5.075286505829374,3,3,0,0
2003.0,0.08705655493857765,5.185359940944979,6,5,1,0
2004.0,0.1056358413856131,5.3719019313837535,1,1,0,0
2005.0,0.11878610189242404,5.638917721766869,5,3,2,0
2006.0,0.25604619445354143,6.060515058547625,1,1,0,0
2007.0,0.1504691695049125,5.507931494546352,5,3,2,0
2008.0,-0.04224266753206596,5.708233719361438,2,2,0,0
2009.0,0.18080851976473836,5.735143059347671,1,1,0,0
2010.0,-0.3188464277728598,5.754804488576897,3,3,0,0
2011.0,-0.017532769257559387,6.1717326316826515,4,3,1,0
2012.0,0.34102298985975504,5.445215070512,1,1,0,0
2013.0,-0.0007640185022955923,5.177109741374341,5,4,1,0
2014.0,0.0019806856871487817,5.216389810329486,2,2,0,0
2015.0,0.5409528109719274,5.046101881323026,1,1,0,0
2016.0,0.7133974251794925,5.284050771352276,4,3,1,0
2017.0,0.6855766124102617,5.232813437533271,4,3,1,0
2018.0,0.4900337800541242,4.928175900525509,1,1,0,0
2019.0,0.6072924635262774,5.266449682683885,5,4,1,0
2020.0,0.6798983203252037,5.095849016584977,6,4,1,1
2021.0,0.43423985590139963,4.859708600635017,3,2,1,0
2022.0,0.6175020336808762,5.554184369815517,3,3,0,0
2023.0,1.0220453565477323,5.765086004245244,3,2,0,1
2024.0,0.9762115347415466,5.179848218021769,4,2,1,1
2025.0,0.9800680777975718,5.487566197213812,1,1,0,0
