year,sst_anomaly_custom,dewpoint_depression_C,all_storms,tropical_storms,cat1_2,major_cat3plus
1982.0,-0.24515577290081755,6.173245468185802,5,3,1,1
1983.0,-0.06273233967827825,6.905799765410581,6,3,3,0
1984.0,-0.5297496794037991,6.235496413735118,12,6,3,3
1985.0,-0.4550369502993113,6.166202069715676,10,6,3,1
1986.0,-0.3573489094336815,6.284228677667817,9,4,2,3
1987.0,0.021910332538929517,6.956615460124948,7,5,2,0
1988.0,0.04817376643533738,6.752536704121759,9,5,2,2
1989.0,-0.5427881898855414,6.387310706573707,9,2,5,2
1990.0,-0.22379929593316764,6.891983839486365,10,6,2,2
1991.0,-0.003939408079954332,6.835097892490286,8,6,2,0
1992.0,-0.3141457050891215,7.553712331404153,9,7,0,2
1993.0,-0.32140103823711846,6.995152304963011,6,3,3,0
1994.0,-0.25233058382650947,7.274065935587539,8,3,2,3
1995.0,-0.2923092470697472,7.41239341812322,10,3,3,4
1996.0,-0.3101853041757651,6.983432581953863,8,2,3,3
1997.0,-0.16802647277002658,6.575583175765485,7,2,3,2
1998.0,0.006829723555714364,7.091469462181401,10,8,1,1
1999.0,-0.318972858817915,6.839370849376944,7,5,1,1
2000.0,-0.2889929253935852,6.4704115504902715,8,4,3,1
2001.0,-0.058642051840270604,6.7239844577438355,8,3,2,3
2002.0,0.0658121322195238,6.866475535337119,10,3,2,5
2003.0,0.09308900128421653,7.021525880010749,11,3,5,3
2004.0,-0.05440968761220274,6.718373063704082,9,3,4,2
2005.0,0.17970172298167006,7.686144919167094,8,4,2,2
2006.0,0.0874959031287791,6.902752533639499,7,5,0,2
2007.0,0.19031662409359473,6.99878833696949,9,2,1,6
2008.0,-0.029454765085503428,7.2292264607437176,12,6,3,3
2009.0,0.2867103958883031,6.999566167669819,11,6,3,2
2010.0,0.3510749904175485,7.107311751246205,8,5,1,2
2011.0,0.14442203187948946,7.100743835193847,4,2,1,1
2012.0,0.18698932436697968,7.229856188075302,8,5,1,2
2013.0,0.09582458928685283,7.365444562568599,10,3,3,4
2014.0,0.4292793456862194,7.032010747641388,9,5,1,3
2015.0,0.4895006681784609,7.295418052556898,12,7,2,3
2016.0,0.3936786746037993,7.397817069196653,7,4,1,2
2017.0,0.33293793321877035,6.655948258620664,5,2,2,1
2018.0,0.23676307351345793,7.023521373908409,6,0,3,3
2019.0,0.7117585769356486,6.876913638986636,11,3,0,8
2020.0,0.4771523753190022,7.1707479015469175,10,5,2,3
2021.0,0.2881621009024163,7.211573315851911,8,3,3,2
2022.0,0.18258080620118142,7.020132371869914,9,5,1,3
2023.0,0.5501538303454803,6.980275775982281,3,2,1,0
2024.0,0.7942292025027635,7.541786464049788,10,4,5,1
2025.0,0.59926268109019,6.998605037689335,10,4,2,4
