year,sst_anomaly_custom,dewpoint_depression_C,all_storms,tropical_storms,cat1_2,major_cat3plus
1982.0,-0.10857715352317615,13.016669909500955,1,0,1,0
1983.0,-0.179050695447442,13.632468396301874,1,1,0,0
1984.0,-0.5993244721357304,15.487788374046941,1,1,0,0
1985.0,-0.5266897209837461,15.12705166988718,1,1,0,0
1986.0,-0.4316533214839122,14.683744122013037,1,1,0,0
1987.0,0.037418496828977375,15.323677833139982,1,1,0,0
1988.0,0.06755587951440697,14.62585725079114,1,1,0,0
1989.0,-0.36637089665190636,14.776775656442615,1,1,0,0
1990.0,-0.200552923246892,13.933618198599824,0,0,0,0
1991.0,-0.11425656662503768,14.241492986889915,0,0,0,0
1992.0,-0.3271370767368295,13.92073790706233,2,2,0,0
1993.0,-0.21911500177927223,14.44113807811123,2,1,1,0
1994.0,-0.3134462927707204,14.097586334394828,2,2,0,0
1995.0,-0.21588923437359733,14.06808231347199,1,1,0,0
1996.0,-0.36056548359985136,13.954875452439673,2,1,1,0
1997.0,0.003602257479558129,12.820822626359105,1,1,0,0
1998.0,0.28047570065520294,13.913621578246621,5,3,1,1
1999.0,-0.18360752953949697,14.600170119203106,1,0,0,1
2000.0,-0.15486162118309732,15.268104507271152,0,0,0,0
2001.0,-0.13749087968703577,15.009960732188631,3,2,0,1
2002.0,0.1619573595816949,15.046375168139193,1,1,0,0
2003.0,0.2445196560408629,14.501469704160018,1,0,1,0
2004.0,-0.09432805792464433,14.820483713682911,3,3,0,0
2005.0,0.06687721315160587,14.221995752928136,0,0,0,0
2006.0,0.05632923659885295,13.829815088266171,1,1,0,0
2007.0,0.18685973199077088,14.111571078865625,2,1,0,1
2008.0,-0.14053166922685661,14.541663093343807,1,1,0,0
2009.0,0.23586378373207165,14.723197285499623,1,1,0,0
2010.0,0.4608001663239758,14.424800737459073,2,1,0,1
2011.0,0.021551436938968844,13.919480737433013,3,3,0,0
2012.0,0.0473857825933317,14.717688776985,2,2,0,0
2013.0,-0.007478043805466683,13.354661898625048,1,1,0,0
2014.0,0.09523474395586923,13.81472121170126,2,1,0,1
2015.0,0.515915277811402,13.958822991922156,4,2,0,2
2016.0,0.4139987694279637,13.992239668110274,1,1,0,0
2017.0,0.44748473745562745,14.405614331960772,0,0,0,0
2018.0,0.2754432728774822,14.761817507774573,2,0,1,1
2019.0,0.5083452227493307,13.075914925427623,4,1,1,2
2020.0,0.5533079150167172,13.280255699220694,2,0,1,1
2021.0,0.28322016055621396,14.165590153126871,1,0,0,1
2022.0,0.3073983461410791,13.824321449195303,2,2,0,0
2023.0,0.7677370704948174,13.182022780239189,2,0,0,2
2024.0,0.8680051386256098,12.926084142782267,1,1,0,0
2025.0,0.2239214301960516,14.0642352431693,1,0,1,0
