year,all_storms,tropical_storms,cat1_2,major_cat3plus
1982,1,0,1,0
1983,1,1,0,0
1984,1,1,0,0
1985,1,1,0,0
1986,1,1,0,0
1987,1,1,0,0
1988,1,1,0,0
1989,1,1,0,0
1990,0,0,0,0
1991,0,0,0,0
1992,2,2,0,0
1993,2,1,1,0
1994,2,2,0,0
1995,1,1,0,0
1996,2,1,1,0
1997,1,1,0,0
1998,5,3,1,1
1999,1,0,0,1
2000,0,0,0,0
2001,3,2,0,1
2002,1,1,0,0
2003,1,0,1,0
2004,3,3,0,0
2005,0,0,0,0
2006,1,1,0,0
2007,2,1,0,1
2008,1,1,0,0
2009,1,1,0,0
2010,2,1,0,1
2011,3,3,0,0
2012,2,2,0,0
2013,1,1,0,0
2014,2,1,0,1
2015,4,2,0,2
2016,1,1,0,0
2017,0,0,0,0
2018,2,0,1,1
2019,4,1,1,2
2020,2,0,1,1
2021,1,0,0,1
2022,2,2,0,0
2023,2,0,0,2
2024,1,1,0,0
2025,1,0,1,0
