year,all_storms,tropical_storms,cat1_2,major_cat3plus
1982,19,10,5,4
1983,18,7,3,8
1984,17,5,6,6
1985,19,8,4,7
1986,14,6,5,3
1987,16,7,5,4
1988,17,11,5,1
1989,21,12,5,4
1990,21,7,9,5
1991,14,5,4,5
1992,24,10,6,8
1993,15,5,2,8
1994,10,5,3,2
1995,11,4,4,3
1996,10,6,3,1
1997,17,9,2,6
1998,15,6,3,6
1999,12,7,4,1
2000,16,10,4,2
2001,11,6,3,2
2002,14,8,1,5
2003,15,9,6,0
2004,13,7,3,3
2005,16,9,5,2
2006,19,9,5,5
2007,11,9,2,0
2008,15,8,5,2
2009,17,11,3,3
2010,11,9,1,1
2011,11,2,4,5
2012,16,7,4,5
2013,16,7,8,1
2014,20,6,6,8
2015,14,4,2,8
2016,19,9,5,5
2017,18,10,4,4
2018,18,8,2,8
2019,18,12,3,3
2020,18,14,1,3
2021,17,9,6,2
2022,17,8,6,3
2023,17,8,2,7
2024,12,8,1,3
2025,17,8,6,3
