year,all_storms,tropical_storms,cat1_2,major_cat3plus
1982,3,2,1,0
1983,1,0,0,1
1984,3,3,0,0
1985,3,0,3,0
1986,3,1,2,0
1987,1,1,0,0
1988,5,3,2,0
1989,4,2,2,0
1990,1,1,0,0
1991,2,2,0,0
1992,1,1,0,0
1993,2,2,0,0
1994,4,4,0,0
1995,4,3,0,1
1996,1,1,0,0
1997,1,0,1,0
1998,4,3,1,0
1999,5,4,0,1
2000,5,4,1,0
2001,3,2,1,0
2002,3,3,0,0
2003,6,5,1,0
2004,1,1,0,0
2005,5,3,2,0
2006,1,1,0,0
2007,5,3,2,0
2008,2,2,0,0
2009,1,1,0,0
2010,3,3,0,0
2011,4,3,1,0
2012,1,1,0,0
2013,5,4,1,0
2014,2,2,0,0
2015,1,1,0,0
2016,4,3,1,0
2017,4,3,1,0
2018,1,1,0,0
2019,5,4,1,0
2020,6,4,1,1
2021,3,2,1,0
2022,3,3,0,0
2023,3,2,0,1
2024,4,2,1,1
2025,1,1,0,0
