year,all_storms,tropical_storms,cat1_2,major_cat3plus
1982,5,3,1,1
1983,6,3,3,0
1984,12,6,3,3
1985,10,6,3,1
1986,9,4,2,3
1987,7,5,2,0
1988,9,5,2,2
1989,9,2,5,2
1990,10,6,2,2
1991,8,6,2,0
1992,9,7,0,2
1993,6,3,3,0
1994,8,3,2,3
1995,10,3,3,4
1996,8,2,3,3
1997,7,2,3,2
1998,10,8,1,1
1999,7,5,1,1
2000,8,4,3,1
2001,8,3,2,3
2002,10,3,2,5
2003,11,3,5,3
2004,9,3,4,2
2005,8,4,2,2
2006,7,5,0,2
2007,9,2,1,6
2008,12,6,3,3
2009,11,6,3,2
2010,8,5,1,2
2011,4,2,1,1
2012,8,5,1,2
2013,10,3,3,4
2014,9,5,1,3
2015,12,7,2,3
2016,7,4,1,2
2017,5,2,2,1
2018,6,0,3,3
2019,11,3,0,8
2020,10,5,2,3
2021,8,3,3,2
2022,9,5,1,3
2023,3,2,1,0
2024,10,4,5,1
2025,10,4,2,4
